#Note ID	French	Source	Jula1	Note1	Jula2	Note2	Bambara	Note3	tags
27783419691	En avoir conscience ou non		U b'a kala ma wo, u t'a kala ma wo						
27783419692	Ils pensent qu'ils ne sont pas qualifiés pour		U b'a miiri ko see t'u ye ka						
27783419693	A leur insu		U ɲina ma						
27783419694	Les attaquer par surprise		U taga cun u kan						
27783419695	Nouvelle visite		Viziti kura						
27783419696	Il est indispensable		Waajibi lo						
27783419697	Autre nécessité		Waajibiko wɛrɛ						
27783419698	Graphique chronologique		Wagati jateminɛcogo jaa						
27783419699	Fait marquant		Waleba						
27783419700	Afin de se rétablir spirituellement		Walisa a ka segi ka fanga sɔrɔ Alako ta fan fɛ						
27783419701	Pour ajouter du poids à nos paroles		Walisa ka sinsin an ka kumaw kan						
27783419702	Feuille d'invitation		Weelesɛbɛ						
27783419703	Proclamer		Weleweleda						
27783419704	Proclamateur expérimenté		Weleweledala kolɔnbaga						
27783419705	Vous êtes-vous jamais demandé		Yala i delila k'i yɛrɛ ɲiniga ni…						
27783419706	Êtes-vous prêts à faire votre choix ?		Yala i labɛnnen be k'o latigɛ wa ?						
27783419707	Changer / Traduire		Yɛlɛma						
27783419708	Maîtrise de soi		Yɛrɛminɛli						
27783419709	Présence de Jésus		Yɛsu be yan wagati						
27783419710	Méthode souple		Yiracogo magaman		Yiracogo nogoman				
27783419711	Statue en bois		Yirimɔgɔnin						
27783419712	Accroissement		Yiriwali						
27783419713	District du Jourdain		Zurudɛn mara						
27783419714	Journal intéressant		Zurunali, a kalan ka di						
